Picture Name,Label,N=3,N=5,N=11,N=21,,
02102,Agoston Galgon Hause,0,0.25,0.25,0.25,,
02103,Agoston Galgon Hause,1,1,1,1,,
02104,Agoston Galgon Hause,0,0,0,0.0769231,,
02105,Agoston Galgon Hause,0.5,0.5,0.5,0.5,,
02106,Agoston Galgon Hause,0.333333,0.333333,0.333333,0.205409,,
02107,Agoston Galgon Hause,0,0,0,0,,
02108,Agoston Galgon Hause,1,1,0.6,0.6,,
02109,Agoston Galgon Hause,1,1,1,0.555556,,
02110,Agoston Galgon Hause,0,0.25,0.25,0.25,,
02111,Agoston Galgon Hause,0,0,0,0,,
02201,La Trompetist Hause,0,0,0,0.0972222,,
02202,La Trompetist Hause,1,1,0.766667,0.627632,,
02203,La Trompetist Hause,0,0,0,0,,
02204,La Trompetist Hause,0,0,0,0,,
02205,La Trompetist Hause,0.5,0.5,0.433333,0.391667,,
02206,La Trompetist Hause,0,0.25,0.25,0.25,,
02207,La Trompetist Hause,0.5,0.5,0.5,0.5,,
02208,La Trompetist Hause,0.333333,0.333333,0.333333,0.333333,,
02209,La Trompetist Hause,0,0,0,0,,
02210,La Trompetist Hause,0,0,0,0.0726191,,
02211,La Trompetist Hause,0,0,0,0.0625,,
02301,Schweinitzer Palace,1,0.75,0.642857,0.534774,,
02302,Schweinitzer Palace,0.833333,0.833333,0.833333,0.508333,,
02303,Schweinitzer Palace,0,0,0.183333,0.183333,,
02304,Schweinitzer Palace,0.5,0.5,0.392857,0.328571,,
02305,Schweinitzer Palace,0.833333,0.833333,0.680556,0.56924,,
02306,Schweinitzer Palace,1,1,0.625,0.625,,
02307,Schweinitzer Palace,0.5,0.5,0.5,0.308824,,
02308,Schweinitzer Palace,0,0,0.111111,0.111111,,
02309,Schweinitzer Palace,0,0,0,0,,
02310,Schweinitzer Palace,0,0,0,0,,
02401,Nokia Networks Romania Campus,0,0,0,0,,
02402,Nokia Networks Romania Campus,0,0,0,0,,
02403,Nokia Networks Romania Campus,0,0.25,0.215909,0.199495,,
02404,Nokia Networks Romania Campus,1,1,1,1,,
02405,Nokia Networks Romania Campus,0,0,0,0,,
02406,Nokia Networks Romania Campus,0,0,0,0,,
02501,Building 8 Str. Eugeniu de Savoya,1,0.7,0.557576,0.557576,,
02502,Building 8 Str. Eugeniu de Savoya,1,1,1,0.576923,,
02503,Building 8 Str. Eugeniu de Savoya,0,0,0,0,,
02504,Building 8 Str. Eugeniu de Savoya,1,0.7,0.7,0.54359,,
02505,Building 8 Str. Eugeniu de Savoya,0.5,0.5,0.47619,0.47619,,
02506,Building 8 Str. Eugeniu de Savoya,0,0,0.196429,0.196429,,
02507,Building 8 Str. Eugeniu de Savoya,0,0,0,0,,
02508,Building 8 Str. Eugeniu de Savoya,1,1,0.625,0.469298,,
