Picture Name,Label,N=3,N=5,N=11,N=21,,
00907,Reformed Church,0,0,0,0,,
01001,Nativity Blessed Virgin Mary Church,0,0.25,0.25,0.25,,
01002,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01003,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01004,Nativity Blessed Virgin Mary Church,0,0,0,0.0526316,,
01005,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01006,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01007,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01101,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01102,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01103,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01104,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01105,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01106,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01107,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01201,Central Library of the University Politehnica Timisoara,1,1,0.642857,0.5,,
01202,Central Library of the University Politehnica Timisoara,1,1,1,1,,
01203,Central Library of the University Politehnica Timisoara,0,0,0.155556,0.159259,,
01204,Central Library of the University Politehnica Timisoara,0.5,0.5,0.5,0.3125,,
01205,Central Library of the University Politehnica Timisoara,0.5,0.5,0.5,0.321429,,
01206,Central Library of the University Politehnica Timisoara,0,0,0,0.0666667,,
01207,Central Library of the University Politehnica Timisoara,0,0,0,0.0769231,,
01208,Central Library of the University Politehnica Timisoara,0.333333,0.333333,0.333333,0.238095,,
01209,Central Library of the University Politehnica Timisoara,0.333333,0.333333,0.333333,0.333333,,
01210,Central Library of the University Politehnica Timisoara,0.333333,0.333333,0.333333,0.333333,,
01301,INCUBOXX,0,0,0,0,,
01302,INCUBOXX,0,0,0,0,,
01303,INCUBOXX,0,0,0,0,,
01401,Agrarian Bank Palace,0,0,0,0,,
01402,Agrarian Bank Palace,0,0,0,0.10049,,
01403,Agrarian Bank Palace,0,0,0,0,,
01404,Agrarian Bank Palace,0,0,0,0,,
01405,Agrarian Bank Palace,0,0,0,0.0625,,
01406,Agrarian Bank Palace,0,0,0,0,,
01407,Agrarian Bank Palace,0.333333,0.333333,0.333333,0.333333,,
01408,Agrarian Bank Palace,0,0,0,0,,
01409,Agrarian Bank Palace,0,0,0,0,,
01410,Agrarian Bank Palace,0,0,0,0,,
01411,Agrarian Bank Palace,0,0,0,0.0666667,,
01412,Agrarian Bank Palace,0,0,0,0,,
01413,Agrarian Bank Palace,0,0,0,0,,
01501,Huniade Castle,0,0,0,0,,
01502,Huniade Castle,0,0,0.111111,0.111111,,
01504,Huniade Castle,0,0,0,0,,
01506,Huniade Castle,0,0,0,0,,
01507,Huniade Castle,0,0,0,0,,
01601,Nativity Church,0,0,0,0,,
01602,Nativity Church,0,0,0,0,,
01603,Nativity Church,0,0,0,0,,
01604,Nativity Church,0,0,0,0,,
01605,Nativity Church,0,0,0,0,,
01606,Nativity Church,0,0,0,0,,
01607,Nativity Church,0,0,0,0,,
01701,Palace of the Serbian Fabric Community,1,0.75,0.75,0.75,,
01702,Palace of the Serbian Fabric Community,1,1,0.611111,0.611111,,
01703,Palace of the Serbian Fabric Community,0.833333,0.833333,0.833333,0.605556,,
01704,Palace of the Serbian Fabric Community,1,0.7,0.7,0.7,,
01705,Palace of the Serbian Fabric Community,0,0,0,0.0769231,,
01706,Palace of the Serbian Fabric Community,0,0,0,0,,
01707,Palace of the Serbian Fabric Community,0,0,0,0.0555556,,
01708,Palace of the Serbian Fabric Community,0.5,0.5,0.5,0.5,,
01709,Palace of the Serbian Fabric Community,0,0,0,0,,
01710,Palace of the Serbian Fabric Community,0,0,0.125,0.125,,
01711,Palace of the Serbian Fabric Community,0,0,0.125,0.125,,
01712,Palace of the Serbian Fabric Community,0.333333,0.333333,0.309524,0.309524,,
01713,Palace of the Serbian Fabric Community,0,0,0,0,,
01801,Serbian Church of Fabric Community,0.333333,0.333333,0.333333,0.333333,,
01802,Serbian Church of Fabric Community,0,0,0,0.0714286,,
01803,Serbian Church of Fabric Community,0,0,0,0,,
01804,Serbian Church of Fabric Community,0,0,0,0,,
01805,Serbian Church of Fabric Community,0,0,0,0,,
01806,Serbian Church of Fabric Community,0,0,0,0,,
01807,Serbian Church of Fabric Community,0,0,0,0,,
01808,Serbian Church of Fabric Community,0,0,0,0,,
